Time resolution is 1 ps
Time	State	Sample Valid	SPI CS	SPI CLK	TX Byte	RX Byte	Bytes Sent
694000	2	0	1	1	00	00	  0
694000	2	0	1	1	00	00	  0
694000	2	0	1	1	00	00	  0
695000	2	0	1	1	00	00	  0
695000	2	0	1	1	00	00	  0
695000	2	0	1	1	00	00	  0
695000	2	0	1	1	00	00	  0
695000	2	0	1	1	00	00	  0
696000	2	0	1	1	00	00	  0
696000	2	0	1	1	00	00	  0
696000	2	0	1	1	00	00	  0
696000	2	0	1	1	00	00	  0
696000	2	0	1	1	00	00	  0
697000	2	0	1	1	00	00	  0
697000	2	0	1	1	00	00	  0
697000	2	0	1	1	00	00	  0
697000	2	0	1	1	00	00	  0
697000	2	0	1	1	00	00	  0
698000	2	0	1	1	00	00	  0
698000	2	0	1	1	00	00	  0
698000	2	0	1	1	00	00	  0
698000	2	0	1	1	00	00	  0
698000	2	0	1	1	00	00	  0
699000	2	0	1	1	00	00	  0
699000	2	0	1	1	00	00	  0
699000	2	0	1	1	00	00	  0
699000	2	0	1	1	00	00	  0
699000	2	0	1	1	00	00	  0
700000	2	0	1	1	00	00	  0
700000	2	0	1	1	00	00	  0
700000	2	0	1	1	00	00	  0
700000	2	0	1	1	00	00	  0
700000	2	0	1	1	00	00	  0
701000	2	0	1	1	00	00	  0
701000	2	0	1	1	00	00	  0
701000	2	0	1	1	00	00	  0
701000	2	0	1	1	00	00	  0
701000	2	0	1	1	00	00	  0
702000	2	0	1	1	00	00	  0
702000	2	0	1	1	00	00	  0
702000	2	0	1	1	00	00	  0
702000	2	0	1	1	00	00	  0
702000	2	0	1	1	00	00	  0
703000	2	0	1	1	00	00	  0
703000	2	0	1	1	00	00	  0
703000	2	0	1	1	00	00	  0
703000	2	0	1	1	00	00	  0
703000	2	0	1	1	00	00	  0
704000	2	0	1	1	00	00	  0
704000	2	0	1	1	00	00	  0
704000	2	0	1	1	00	00	  0
704000	2	0	1	1	00	00	  0
704000	2	0	1	1	00	00	  0
705000	2	0	1	1	00	00	  0
705000	2	0	1	1	00	00	  0
705000	2	0	1	1	00	00	  0
705000	2	0	1	1	00	00	  0
705000	2	0	1	1	00	00	  0
706000	2	0	1	1	00	00	  0
706000	2	0	1	1	00	00	  0
706000	2	0	1	1	00	00	  0
706000	2	0	1	1	00	00	  0
706000	2	0	1	1	00	00	  0
707000	2	0	1	1	00	00	  0
707000	2	0	1	1	00	00	  0
707000	2	0	1	1	00	00	  0
707000	2	0	1	1	00	00	  0
707000	2	0	1	1	00	00	  0
708000	2	0	1	1	00	00	  0
708000	2	0	1	1	00	00	  0
